Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
14000,713180,368907,181356,162717,158789,45505,64789,427388398,327581,203703,33818,74226855,210179,110482335,102495,557289231,140648,1204311731,39072,816692789,448177527
14250,649912,370773,146872,135241,169444,46074,59345,460996289,332500,209855,32669,75358670,218539,111728394,82432,537045703,139043,1024227055,42826,879379024,491828938
14500,629473,378833,144040,135308,163736,47253,59223,452997990,360428,227990,32765,78586525,185801,132961880,80535,482516479,142706,1626268543,44409,901235490,497218389
14750,616596,389812,134845,127912,158915,47302,65301,513190995,338222,218543,31255,75117638,195801,134768754,81438,466245369,137363,1808426492,54194,1031400467,476356506
15000,611103,433056,129495,127423,173139,56786,63296,511036390,308871,246977,30907,77441539,187602,119613358,83210,462207616,138606,1859840430,51438,1052784236,459511475
15250,597098,384017,130255,131429,155984,42183,63128,612099345,347751,217111,31379,90291922,204963,118916276,80241,496191924,133663,1787804159,40363,1147569786,469380481
15500,597627,387820,129883,127455,160741,53037,71076,504102880,327473,215618,31819,88755204,230947,123135275,81626,459275340,140657,1766930564,40587,1277488238,484985185
15750,599992,399560,130279,130648,176402,50128,63249,511515481,326010,220258,31250,86046299,220203,128533908,81442,489504422,147071,1042410348,40202,1430010167,489792497
16000,675180,403150,130409,123510,153801,44818,61766,513590820,321950,228869,31774,87749283,174379,133039006,70354,484759715,131336,1265171459,38545,1359643997,462755535
16250,653297,399621,131873,130227,158001,43231,59861,530081008,351577,214663,32402,95449814,177853,129629350,68088,524066981,138234,1242679876,46572,1546536148,451750731
16500,624062,420982,132480,124693,155247,49092,62674,523311281,380867,252996,30924,96623480,180091,127339826,69086,495922916,11233663,1336289680,61919,1140992658,511533166
16750,610857,436886,131608,121115,157045,45408,59325,580430252,377221,282195,32649,105370456,193582,132384390,75708,512569523,144228,1123694317,62632,1327350653,465561236
17000,615313,430337,132465,119976,154172,44445,63347,693231801,471619,310119,35765,98183413,207980,138271498,75625,531829943,132565,1791935117,50679,1320691743,491314972
17250,602214,423575,133368,124618,161873,43715,60248,617728926,507667,330161,39343,102957224,206748,177326213,74711,604285847,132708,1872606197,41174,1195980900,484661820
17500,662111,417870,136871,121626,160250,48666,63236,531619782,507841,362492,31619,110190110,192092,180732274,80594,637066837,140684,1986135461,49875,1259549923,511814157
17750,614907,449078,132467,125161,163938,44914,65536,547744636,479046,313640,31969,103456455,190136,197673511,78608,561138545,133664,1898665546,48709,1259791914,520580465
18000,693121,433145,133521,119068,157227,49980,65529,648910731,520569,314405,31958,111069958,246968,260905066,74249,543813936,133531,1796454941,66922,1168885789,527434388
18250,621409,437788,132283,125439,164815,42483,62747,595838331,535039,318699,35871,106542907,194688,201849912,73427,522765176,133399,1732357596,40079,1161553016,611401761
18500,627807,423903,134131,123370,161948,44687,62928,628101809,495704,308860,42916,123078693,215382,173969218,77944,627176045,156299,2070427299,62705,1299067282,567379220
18750,637298,480177,130653,121041,167753,44745,63417,583568846,520665,1294874,39781,114520820,190675,180741405,77832,550497514,137106,1766243734,41820,1626997557,526330793
19000,622570,443763,132839,119820,156050,53216,65054,704488630,363258,259487,31288,119273623,178901,184658364,70846,577827951,135267,1633034988,37118,1579657060,578788210
19250,616821,463381,132663,123110,157666,43997,67137,633360878,377436,219220,31655,118111148,181923,227212792,68976,585118531,152132,1964213904,48325,1371284170,543126617
19500,643426,434227,130496,124647,159639,45704,72339,658591480,336805,218933,32726,115120352,212204,191264154,68000,572888441,141151,1847125197,40826,1224440971,542291895
19750,678249,415869,134179,121114,180991,43313,70994,642321456,339334,215587,35824,119349099,272560,194705766,71558,578827422,132668,2075661273,39587,1508144307,547408585
20000,672353,428932,132996,160261,183461,44684,71345,677355062,320347,231165,31987,130186203,228571,224520312,70176,576712984,130607,2026728131,39457,1465052045,654676986
20250,628630,449323,165603,127768,166025,45252,64758,622814297,342630,235248,37351,131912817,264693,235287978,74278,592364186,149659,1900512392,36211,1836895809,686363947
20500,708218,484048,183626,120801,160194,47341,64517,652387047,348262,267000,43754,138562309,251777,176142176,71596,716343474,131063,1823073358,37291,1511694220,655810199
20750,707559,453479,216400,121171,175347,43340,93824,666399211,387846,237702,44428,157435837,256759,173704190,73023,702287370,127452,1606990707,43241,1427959687,749886273
21000,878948,476577,180110,118939,172070,47708,75040,744289233,365617,238434,45796,132187220,209049,196536183,72805,921196976,132143,1854664176,44473,1470211515,668474176
21250,932405,465934,154180,117311,165466,42997,74129,734516800,476871,235358,47577,141138062,212930,235504208,70193,896656430,131344,1539224696,40309,1650354847,743103209
21500,965770,449113,147077,117626,164751,43647,73839,856896788,521816,253309,46672,141724647,219790,208854692,76597,707776980,127818,1647078919,38714,1557149151,707325672
21750,959295,472428,140128,124383,176103,44804,73463,706685499,375319,298352,39708,148932861,192912,193979337,103410,997057341,126780,1420317485,42365,2236537767,710895010
22000,826637,490560,143709,120779,166652,43117,79954,895710682,469704,266026,38603,148232900,193223,218579118,71584,1074757402,126797,1628821836,37229,2345064813,771134075
22250,665527,476844,140130,122978,179811,44904,81123,850885136,390461,224263,30987,141323182,211728,213644329,70263,1038815572,128913,1587363869,38662,2093296814,784961846
22500,633906,452031,139596,126048,167169,51656,76146,781969675,420569,222997,31731,144356215,215976,238981989,78164,999955442,125461,2049157082,49943,2025370466,721559331
22750,622824,465263,139339,131081,170879,43337,81150,706874808,371988,230481,31130,151082111,226483,265449404,68063,915530955,139708,1899675705,71218,2012154536,726845483
23000,606318,463688,141764,118784,171005,44347,78473,723014690,442504,228172,31035,145152449,197752,253080071,65407,946819273,134673,2234961178,50019,2051617537,792653838
23250,610074,476756,141546,118999,191347,54208,80434,771640160,380829,234988,31151,143358565,206841,257473870,66280,830114262,133258,1987218789,41282,2149986341,741545670
23500,808779,497237,139631,125488,178034,44547,89043,746357258,460025,235503,30991,139823571,211040,275862352,84872,828504598,141403,1821915286,39945,2152179823,728254257
23750,689116,490976,139460,116893,175517,45895,104478,761277806,392778,236439,31120,167190435,253854,265279421,66200,908045841,126209,1571482115,42599,1717362807,722235608
24000,634369,470341,140968,112984,181505,46533,117202,748286140,353244,257894,31602,178477516,284221,218377986,65718,933561685,136546,1961529822,53652,1771378306,765145347
24250,712888,460498,140842,110471,180742,44438,120729,794560077,371733,283965,31294,170862858,234480,276904147,66742,849867041,124997,2070353920,68171,1684800503,671090088
24500,663737,464718,145779,113177,203149,43341,124623,874731172,381881,269527,31218,167784070,214143,235542143,77855,794998316,129315,2436696763,53866,1664513463,693708276
24750,641296,478511,139965,113697,190789,47976,129983,821933268,359811,283500,30902,182187696,182311,222481780,72916,834268310,128311,2508761451,70345,2053502656,714326349
25000,629648,566487,138611,116107,157044,50306,116700,770083060,341297,334387,31082,176117820,176898,265830805,78138,830281087,126339,2161631659,51789,2255531285,693372770
